"我 喜欢 吃 水果。", "Wǒ xǐhuān chī shuǐguǒ.", "Мне нравится есть фрукты."
"你 今天 怎么 样？", "Nǐ jīntiān zěnme yàng?", "Как дела сегодня?"
"他 是 我的 朋友。", "Tā shì wǒ de péngyǒu.", "Он мой друг."
"我们 一起 去 看电影 吧。", "Wǒmen yīqǐ qù kàn diànyǐng ba.", "Давай пойдем смотреть фильм вместе."
"她的 家 很大。", "Tā de jiā hěn dà.", "Ее дом очень большой."
"我 每天 都 跑步。", "Wǒ měitiān dōu pǎobù.", "Я бегаю каждый день."
"你 会 说 汉语 吗？", "Nǐ huì shuō hànyǔ ma?", "Ты говоришь по-китайски?"
"他 喜欢 听 音乐。", "Tā xǐhuān tīng yīnyuè.", "Он любит слушать музыку."
"我 在学校 学习 中文。", "Wǒ zài xuéxiào xuéxí zhōngwén.", "Я учу китайский в школе."
"今天 天气 很好。", "Jīntiān tiānqì hěn hǎo.", "Сегодня хорошая погода."
"你 喝 茶 还是 喝 咖啡？", "Nǐ hē chá hái shì hē kāfēi?", "Ты пьешь чай или кофе?"
"她 每天 都 工作 八 小时。", "Tā měitiān dōu gōngzuò bā xiǎoshí.", "Она работает восемь часов каждый день."
"我 想 买 一本 书。", "Wǒ xiǎng mǎi yī běn shū.", "Я хочу купить книгу."
"你 喜欢 什么 颜色？", "Nǐ xǐhuān shénme yánsè?", "Какой цвет тебе нравится?"
"他 正在 看 电视。", "Tā zhèngzài kàn diànshì.", "Он смотрит телевизор."
"我 有 很多 玩具。", "Wǒ yǒu hěn duō wánjù.", "У меня много игрушек."
"你 能 帮 我 吗？", "Nǐ néng bāng wǒ ma?", "Ты можешь мне помочь?"
"我们 去 公园 吧。", "Wǒmen qù gōngyuán ba.", "Давай пойдем в парк."
"她的 生日 是 五月二十日。", "Tā de shēngrì shì wǔ yuè èrshí rì.", "Ее день рождения 20 мая."
"我 喜欢 游泳。", "Wǒ xǐhuān yóuyǒng.", "Мне нравится плавать."
"我 在家里 做饭。", "Wǒ zài jiālǐ zuò fàn.", "Я готовлю дома."
"你 喜欢 旅行 吗？", "Nǐ xǐhuān lǚxíng ma?", "Ты любишь путешествовать?"
"他 每天 都 读书。", "Tā měitiān dōu dúshū.", "Он читает книги каждый день."
"我们 一起 去 吃饭 吧。", "Wǒmen yīqǐ qù chīfàn ba.", "Давай пойдем поесть вместе."
"我 喜欢 看书 和 画 画。", "Wǒ xǐhuān kàn shū hé huàhuà.", "Мне нравится читать книги и рисовать."
"你 会 游泳 吗？", "Nǐ huì yóuyǒng ma?", "Ты умеешь плавать?"
"她的 工作 很 有趣。", "Tā de gōngzuò hěn yǒuqù.", "Ее работа очень интересная."
"我 想 喝 水。", "Wǒ xiǎng hē shuǐ.", "Я хочу пить воду."
"你 喜欢 什么 运动？", "Nǐ xǐhuān shénme yùndòng?", "Какой спорт тебе нравится?"
"他 在学习 英语。", "Tā zài xuéxí yīngyǔ.", "Он изучает английский."
"我们 去 购物 吧。", "Wǒmen qù gòuwù ba.", "Давай пойдем за покупками."
"我 喜欢 冬天。", "Wǒ xǐhuān dōngtiān.", "Мне нравится зима."
"你 有 什么 爱好？", "Nǐ yǒu shénme àihào?", "Какие у тебя хобби?"
"她 喜欢 养 花。", "Tā xǐhuān yǎng huā.", "Она любит ухаживать за цветами."
"我 想 去 海边。", "Wǒ xiǎng qù hǎibiān.", "Я хочу поехать на море."
"你 会 做饭 吗？", "Nǐ huì zuò fàn ma?", "Ты умеешь готовить?"
"他 正在 学习 弹 钢琴。", "Tā zhèngzài xuéxí tán gāngqín.", "Он учится играть на пианино."
"我们 明天 去 爬山。", "Wǒmen míngtiān qù páshān.", "Мы пойдем в горы завтра."
"我 喜欢 喝 果汁。", "Wǒ xǐhuān hē guǒzhī.", "Мне нравится пить сок."
"你 喜欢 猫 还是 狗？", "Nǐ xǐhuān māo hái shì gǒu?", "Ты любишь кошек или собак?"
"她的 家 离 学校 很 近。", "Tā de jiā lí xuéxiào hěn jìn.", "Ее дом находится близко к школе."
