"我 喜欢 苹果。","Wǒ xǐhuān píngguǒ.","Мне нравятся яблоки."
"你 好吗？","Nǐ hǎo ma?","Как дела?"
"他 是 学生。","Tā shì xuéshēng.","Он студент."
"她 有 一只狗。","Tā yǒu yī zhī gǒu.","У нее есть собака."
"我们 去 学校。","Wǒmen qù xuéxiào.","Мы идем в школу."
"你们 在做 什么？","Nǐmen zài zuò shénme?","Что вы делаете?"
"我 爱 我的 家。","Wǒ ài wǒ de jiā.","Я люблю свою семью."
"这 是 什么？","Zhè shì shénme?","Что это?"
"我 有 很多 书。","Wǒ yǒu hěn duō shū.","У меня много книг."
"他 喜欢 喝 水。","Tā xǐhuān hē shuǐ.","Он любит пить воду."
"你 要吃 饭吗？","Nǐ yào chīfàn ma?","Ты хочешь поесть?"
"我 在看 电视。","Wǒ zài kàn diànshì.","Я смотрю телевизор."
"她的 名字 叫 小丽。","Tā de míngzì jiào Xiǎolì.","Ее зовут Сяоли."
"今天 是 星期一。","Jīntiān shì xīngqī yī.","Сегодня понедельник."
"我 会说 汉语。","Wǒ huì shuō Hànyǔ.","Я могу говорить по-китайски."
"他 在图书馆 学习。","Tā zài túshūguǎn xuéxí.","Он учится в библиотеке."
"我 喜欢 这个 颜色。","Wǒ xǐhuān zhège yánsè.","Мне нравится этот цвет."
"你 有 手机 吗？","Nǐ yǒu shǒujī ma?","У тебя есть мобильный телефон?"
"我们 一起 去吧！","Wǒmen yīqǐ qù ba!","Давайте пойдем вместе!"
"她 很 漂亮。","Tā hěn piàoliang.","Она очень красивая."
"我 想喝 茶。","Wǒ xiǎng hē chá.","Я хочу пить чай."
"你 会 游泳吗？","Nǐ huì yóuyǒng ma?","Ты умеешь плавать?"
"他 每天 跑步。","Tā měitiān pǎobù.","Он бегает каждый день."
"我 有 一个 哥哥。","Wǒ yǒu yīgè gēgē.","У меня есть старший брат."
"她的 爸爸 是 医生。","Tā de bàba shì yīshēng.","Ее папа врач."
"你 喜欢 什么 运动？","Nǐ xǐhuān shénme yùndòng?","Какой спорт тебе нравится?"
"我们 在 公园玩。","Wǒmen zài gōngyuán wán.","Мы играем в парке."
"他 有 很多 朋友。","Tā yǒu hěn duō péngyǒu.","У него много друзей."
"我 想买 一个 新书包。","Wǒ xiǎng mǎi yīgè xīn shūbāo.","Я хочу купить новый рюкзак."
"你 今天 去 哪里？","Nǐ jīntiān qù nǎlǐ?","Куда ты сегодня идешь?"
"我 喜欢 看书。","Wǒ xǐhuān kàn shū.","Мне нравится читать книги."
"她 会 唱歌。","Tā huì chànggē.","Она умеет петь."
"我 有 一个 妹妹。","Wǒ yǒu yīgè mèimei.","У меня есть младшая сестра."
"你 要喝 什么？","Nǐ yào hē shénme?","Что ты хочешь выпить?"
"我们 一起 学习 汉语。","Wǒmen yīqǐ xuéxí Hànyǔ.","Мы учим китайский вместе."
"他 在家里 工作。","Tā zài jiālǐ gōngzuò.","Он работает дома."
"我 喜欢 这个 地方。","Wǒ xǐhuān zhège dìfāng.","Мне нравится это место."
"你 会 开车吗？","Nǐ huì kāichē ma?","Ты умеешь водить машину?"
"她 每天 都 很忙。","Tā měitiān dōu hěn máng.","Она каждый день очень занята."
"我 想去 旅行。","Wǒ xiǎng qù lǚxíng.","Я хочу поехать в путешествие."
"你 喜欢 喝 咖啡吗？","Nǐ xǐhuān hē kāfēi ma?","Ты любишь пить кофе?"
"我们 一起 吃 晚饭吧！","Wǒmen yīqǐ chī wǎnfàn ba!","Давайте поужинаем вместе!"
"他 每天 都 跑步。","Tā měitiān dōu pǎobù.","Он бегает каждый день."
"我 有 一只 猫。","Wǒ yǒu yī zhī māo.","У меня есть кошка."
"你 要去 哪里？","Nǐ yào qù nǎlǐ?","Куда ты собираешься идти?"
"她的 妈妈 是 老师。","Tā de māmā shì lǎoshī.","Ее мама учительница."
"我 喜欢 吃 水果。","Wǒ xǐhuān chī shuǐguǒ.","Мне нравится есть фрукты."
"你 会 画 画吗？","Nǐ huì huàhuà ma?","Ты умеешь рисовать?"
"我们 在这里 等 你。","Wǒmen zài zhèlǐ děng nǐ.","Мы ждем тебя здесь."
"他 在学校 学习 汉语。","Tā zài xuéxiào xuéxí Hànyǔ.","Он учит китайский в школе."
"我 想要 一个 汉堡包。","Wǒ xiǎng yào yīgè hànbǎobāo.","Я хочу бургер."
"你 喜欢 看 电影吗？","Nǐ xǐhuān kàn diànyǐng ma?","Ты любишь смотреть фильмы?"
"她 有 很多 玩具。","Tā yǒu hěn duō wánjù.","У нее много игрушек."
"我 在商店 买 东西。","Wǒ zài shāngdiàn mǎi dōngxī.","Я покупаю вещи в магазине."
"你 要 不要 喝 水？","Nǐ yào bùyào hē shuǐ?","Ты хочешь пить воду?"
"我们 一起 唱 歌 吧！","Wǒmen yīqǐ chànggē ba!","Давайте споем вместе!"
"他 今天 不来 学校。","Tā jīntiān bù lái xuéxiào.","Он сегодня не придет в школу."
"我 爱 我的 朋友们。","Wǒ ài wǒ de péngyǒumen.","Я люблю своих друзей."
"你 会 打篮球 吗？","Nǐ huì dǎ lánqiú ma?","Ты умеешь играть в баскетбол?"
"她 在家里 做饭。","Tā zài jiālǐ zuò fàn.","Она готовит дома."
"我 喜欢 听 音乐。","Wǒ xǐhuān tīng yīnyuè.","Мне нравится слушать музыку."
"你 今天 很 高兴 吗？","Nǐ jīntiān hěn gāoxìng ma?","Ты сегодня очень радостный?"
"我们 去 图书馆 吧！","Wǒmen qù túshūguǎn ba!","Давайте пойдем в библиотеку!"
"他 在外面 等 我。","Tā zài wàimiàn děng wǒ.","Он ждет меня снаружи."
"我 想学 中文。","Wǒ xiǎng xué zhōngwén.","Я хочу учить китайский язык."
"你 喜欢 这个 故事 吗？","Nǐ xǐhuān zhège gùshì ma?","Тебе нравится эта история?"
"我 在学习 中文。","Wǒ zài xuéxí zhōngwén.","Я учу китайский."
"你 喜欢 这个 电影吗？","Nǐ xǐhuān zhège diànyǐng ma?","Тебе нравится этот фильм?"
"她 每天 都 喝 牛奶。","Tā měitiān dōu hē niúnǎi.","Она каждый день пьет молоко."
"我 有 一个 好 主意。","Wǒ yǒu yīgè hǎo zhǔyì.","У меня есть хорошая идея."
"你 要 不要 出去 玩？","Nǐ yào bùyào chūqù wán?","Ты хочешь выйти поиграть?"
"我们 去 看 比赛 吧！","Wǒmen qù kàn bǐsài ba!","Давайте пойдем на матч!"
"他 喜欢 吃 辣椒。","Tā xǐhuān chī làjiāo.","Он любит есть перец."
"我 每天 都 上网。","Wǒ měitiān dōu shàngwǎng.","Я каждый день сижу в интернете."
"你 会 做 饭吗？","Nǐ huì zuò fàn ma?","Ты умеешь готовить?"
"她的 生日 是 七月。","Tā de shēngrì shì qī yuè.","Ее день рождения в июле."
"我 想买 一双 鞋。","Wǒ xiǎng mǎi yī shuāng xié.","Я хочу купить пару обуви."
"你 喜欢 听 什么 音乐？","Nǐ xǐhuān tīng shénme yīnyuè?","Какую музыку ты любишь слушать?"
